module_id,file_path,file_kind,routes,literal_count,ui_text_count,translation_mechanism,status,last_rechecked_batch,notes
pricing-plans,src/modules/pricing-plans/pages/ProviderPage.tsx,page,provider:/providers/:providerId/plan,7,20,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Current Provider Plan | PricingPlans owns free/paid profile ownership, entitlements, limits, and plan pricing. It issues provider plan invoices through PaymentBilling via Core ModuleBus. | Plan | Currency | Due date | pricing-plans | pricing_plans"
payment-billing,src/modules/payment-billing/actions.ts,actions,,1,0,"module dictionary, active locale",Needs work,Batch 63,A receipt file is required for manual payment verification.
payment-billing,src/modules/payment-billing/module.tsx,module_manifest,,14,0,none detected,Needs work,Batch 63,"(""billing.issue_invoice"", async (request: ModuleCapabilityRequest | (""billing.issue_proforma"", async (request: ModuleCapabilityRequest | (""billing.issue_tax_invoice"", async (request: ModuleCapabilityRequest | (""payment.create_payment_intent"", async (request: ModuleCapabilityRequest | (""payment.upload_manual_receipt"", async (request: ModuleCapabilityRequest | (""payment.verify_manual_receipt"", async (request: ModuleCapabilityRequest | (""payment.reconcile_bank_statement"", async (request: ModuleCapabilityRequest | Invoice issued by PaymentBilling module."
payment-billing,src/modules/payment-billing/pages/AdminPage.tsx,page,admin:/admin/billing,29,22,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Payment & Billing Control | Validated invoices, payment intents and private manual-receipt review for integrated modules. | Invoice capability | Invoice type | Provider | Display name | Title | Line description"
payment-billing,src/modules/payment-billing/pages/ProviderPage.tsx,page,provider:/providers/:providerId/billing,11,15,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Provider Billing | Provider invoices, payment intents and private manual-receipt verification with provider-scoped access. | Invoice | Payment method | Amount | Currency | Manual method | Tracking number"
provider-portal,src/modules/provider-portal/actions.ts,actions,,2,0,active locale,Needs work,Batch 63,Profile claim was not found. | Provider ID is required for clinic confirmation.
provider-portal,src/modules/provider-portal/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
provider-portal,src/modules/provider-portal/pages/AdminLaunchReadinessPage.tsx,page,admin:/admin/provider-launch-readiness,2,17,shared UiText,Needs work,Batch 63,Provider Launch Readiness Board | Admin-side customer journey gate for deciding which provider/staff pages are safe to publish or promote on LSevin front.
provider-portal,src/modules/provider-portal/pages/AdminPage.tsx,page,admin:/admin/provider-claims,15,22,shared UiText,Needs work,Batch 63,"Provider Claims & Ownership | One admin control center for provider/staff claims, clinic confirmation, LSevin approval, billing, and ownership unlock. | Decision reason | Claim ID | Plan | Manual amount override | Currency | Tax percent"
provider-portal,src/modules/provider-portal/pages/LaunchReadinessPage.tsx,page,provider:/providers/:providerId/launch-readiness,8,20,shared UiText,Needs work,Batch 63,"Provider Launch Readiness | A customer-driven launch console for public profile quality, multilingual front compatibility, booking readiness, trust content, payment state, support, and analytics. This keeps every iteration publishable. | Provider sign-off | Note | What changed, why waived, or what remains | Still needs work | Done / verified by provider | Waive for this launch"
provider-portal,src/modules/provider-portal/pages/ModerationPage.tsx,page,admin:/admin/moderation,8,10,"shared UiText, active locale",Needs work,Batch 63,Content Moderation Queue | Approve or reject provider/staff/service content edits before they become public front snapshots. This prevents unapproved changes from leaking to LSevin front. | Decision | Reason | Required for rejection | Reviewer note | Approve and publish | Reject
provider-portal,src/modules/provider-portal/pages/ProviderPage.tsx,page,provider:/providers/:providerId/portal,25,27,"shared UiText, active locale",Needs work,Batch 63,"Provider Portal Command Center | Customer-facing profile ownership, clinic confirmation, draft/preview/publish content workflow, and payment-aware access in one provider workspace. | Reason / note | Entity type | Entity ID | Locale | Section | Title"
availability,src/modules/availability/actions.ts,actions,,14,0,none detected,Needs work,Batch 63,Day of week must be between 1 and 7. | Slot interval must be a positive whole number. | Opening time must be before closing time. | Resource capacity must be a positive whole number. | Unsupported resource type. | Unsupported availability target. | A resource is required for resource availability. | Choose a recurring day or a specific date.
availability,src/modules/availability/components/AvailabilityManager.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
availability,src/modules/availability/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
availability,src/modules/availability/pages/AdminAvailabilityPage.tsx,page,admin:/admin/availability,22,21,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Availability administration | Inspect and safely disable provider, service, staff and resource availability without rewriting provider schedules. | Rules | Active rules | Inactive rules | Blocking rules | Active resources | Closed operating days"
availability,src/modules/availability/pages/AvailabilityPage.tsx,page,provider:/providers/:providerId/availability,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
bookings,src/modules/bookings/actions.ts,actions,,4,2,"module dictionary, shared UiText, active locale",Needs work,Batch 63,Unsupported booking status. | Provider notes must be 4000 characters or fewer. | Booking was not found for this provider. | Invoice amount must be greater than zero.
bookings,src/modules/bookings/components/BookingsTable.tsx,component,,1,7,"module dictionary, shared UiText, active locale",Needs work,Batch 63,Invoice amount
bookings,src/modules/bookings/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
bookings,src/modules/bookings/pages/BookingsPage.tsx,page,provider:/providers/:providerId/bookings,0,3,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
dashboard,src/modules/dashboard/components/DashboardProviderCards.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
dashboard,src/modules/dashboard/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
dashboard,src/modules/dashboard/pages/AdminDashboardPage.tsx,page,admin:/admin,15,35,shared UiText,Needs work,Batch 63,"LSevin administration control center | Cross-module launch operations, onboarding review, admin-role evidence and the current admin-surface completeness inventory. | Applications awaiting review | Providers | Services | Staff | Availability rules | Active offers"
dashboard,src/modules/dashboard/pages/ProviderDashboardPage.tsx,page,provider:/providers/:providerId/dashboard,0,0,"module dictionary, active locale",Rechecked,Batch 63,
dashboard,src/modules/dashboard/pages/UserDashboardPage.tsx,page,portal:/dashboard,0,0,"module dictionary, active locale",Rechecked,Batch 63,
finance,src/modules/finance/actions.ts,actions,,3,0,none detected,Needs work,Batch 63,Account holder is required. | Bank name is required. | IBAN or SWIFT code is required.
finance,src/modules/finance/components/FinanceManager.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
finance,src/modules/finance/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
finance,src/modules/finance/pages/LegacyFinancePage.tsx,page,provider:/providers/:providerId/finance-legacy,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
manage,src/modules/manage/components/ManagementHub.tsx,component,,0,4,shared UiText,Needs explicit phrase verification,Batch 63,
manage,src/modules/manage/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
manage,src/modules/manage/pages/ProviderManagePage.tsx,page,provider:/providers/:providerId/manage,2,0,none detected,Needs work,Batch 63,Manage provider | One control surface for every provider data-entry and operations module.
media,src/modules/media/actions.ts,actions,,0,0,none detected,Rechecked,Batch 63,
media,src/modules/media/components/MediaManager.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
media,src/modules/media/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
media,src/modules/media/pages/MediaPage.tsx,page,provider:/providers/:providerId/media,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
offers,src/modules/offers/actions.ts,actions,,3,0,"module dictionary, active locale",Needs work,Batch 63,"Offer expiry must be a valid future date and time. | Offer code must use 3-50 letters, numbers, underscores or dashes. | A reason is required when deactivating an offer."
offers,src/modules/offers/components/OffersManager.tsx,component,,10,5,"module dictionary, shared UiText, active locale",Needs work,Batch 63,Deactivate offer | Service | Title | Subtitle | Discount percent | Valid until | Code | Usage limit
offers,src/modules/offers/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
offers,src/modules/offers/pages/AdminOffersPage.tsx,page,admin:/admin/offers,16,17,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Offer administration | Moderate activation, featured placement and expiration while preserving provider ownership and usage limits. | Offers | Active | Inactive | Featured | Expired | Usage exhausted"
offers,src/modules/offers/pages/OffersPage.tsx,page,provider:/providers/:providerId/offers,2,0,"module dictionary, active locale",Needs work,Batch 63,Offers | Create and manage promotional offers for provider services.
onboarding,src/modules/onboarding/actions.ts,actions,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/approval-errors.ts,errors,,12,0,none detected,Needs work,Batch 63,"The onboarding administration migration is missing. Run npm run migrate, then npm run migrate:check, and retry approval. | Country and city are required when creating a provider. Use LSevin location codes such as IR and tehran. | The country was not found in the LSevin location catalog. Use a country code such as IR. | The city was not found under the selected country. Use a city code such as tehran or tabriz. | The selected existing provider has a different provider type. Choose a matching provider or create a new one. | One of the provider contact or location values exceeds the LSevin database limit. Use location codes and a short phone country code such as +98. | A referenced user, provider type, location, or provider no longer exists. Reload the application and repair the missing reference before approval. | The application no longer exists."
onboarding,src/modules/onboarding/components/ApplicationForm.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/components/PublicLandingHeader.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
onboarding,src/modules/onboarding/pages/AdminApplicationPage.tsx,page,admin:/admin/applications/:applicationId,26,20,"module dictionary, shared UiText, active locale",Needs work,Batch 63,Status | Audience | Applicant | Applicant email | Legal name | Display name | Provider type | Contact
onboarding,src/modules/onboarding/pages/AdminApplicationsPage.tsx,page,admin:/admin/applications,15,11,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Provider onboarding applications | Review LSevin user applications, request corrections, approve a new provider or attach an existing provider, and create the owner membership. | Total | Submitted | In review | Approved | Rejected | Missing provider type"
onboarding,src/modules/onboarding/pages/ApplicationsPage.tsx,page,portal:/applications,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/pages/LandingPage.tsx,page,public:/ | public:/become-provider,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/pages/NewApplicationPage.tsx,page,portal:/applications/new,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/pages/NewStaffApplicationPage.tsx,page,portal:/applications/new/staff,0,0,"module dictionary, active locale",Rechecked,Batch 63,
onboarding,src/modules/onboarding/pages/StaffLandingPage.tsx,page,public:/become-staff,0,0,"module dictionary, active locale",Rechecked,Batch 63,
provider-access,src/modules/provider-access/actions.ts,actions,,1,0,none detected,Needs work,Batch 63,User was not found. Enter a valid user ID or exact LSevin email.
provider-access,src/modules/provider-access/components/ProviderCards.tsx,component,,4,2,shared UiText,Needs work,Batch 63,Services | Staff | Bookings | Rating
provider-access,src/modules/provider-access/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
provider-access,src/modules/provider-access/pages/MyProvidersPage.tsx,page,portal:/providers,4,1,shared UiText,Needs work,Batch 63,"My providers | Providers assigned to your LSevin user account. | No providers assigned | Your user is logged in, but no provider member row exists yet."
provider-access,src/modules/provider-access/pages/ProviderSettingsPage.tsx,page,provider:/providers/:providerId/settings,13,3,shared UiText,Needs work,Batch 63,Settings | Assign existing LSevin users to this provider workspace and manage roles. | User ID | uuid | Or exact email | user@example.com | Role | Owner
provider-finance-analytics,src/modules/provider-finance-analytics/actions.ts,actions,,2,0,active locale,Needs work,Batch 63,Only an LSevin finance/admin user can perform this action. | Settlement batch was not found.
provider-finance-analytics,src/modules/provider-finance-analytics/components/AdminFinanceConsole.tsx,component,,25,14,shared UiText,Needs work,Batch 63,Gross revenue | LSevin compensation | Provider payable | Paid out | Reason | Gateway ref | Provider ID | Currency
provider-finance-analytics,src/modules/provider-finance-analytics/components/CompensationPoliciesManager.tsx,component,,0,7,shared UiText,Needs explicit phrase verification,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/components/MoneyMovementTable.tsx,component,,0,4,shared UiText,Needs explicit phrase verification,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/components/ProviderFinanceCommandCenter.tsx,component,,10,18,shared UiText,Needs work,Batch 63,Gross revenue | LSevin compensation | Provider payable | Wallet available | Create wallet currency | Currency | Amount | Payout account
provider-finance-analytics,src/modules/provider-finance-analytics/components/ReportsDashboard.tsx,component,,7,11,shared UiText,Needs work,Batch 63,From | To | Currency | Gross revenue | Bookings | Active services | Average rating
provider-finance-analytics,src/modules/provider-finance-analytics/components/SettlementManager.tsx,component,,5,18,shared UiText,Needs work,Batch 63,Bank/gateway ref | Period start | Period end | Currency | Notes
provider-finance-analytics,src/modules/provider-finance-analytics/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/AdminFinancePage.tsx,page,admin:/admin/finance,0,0,none detected,Rechecked,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/AdminReportsPage.tsx,page,admin:/admin/reports,0,4,shared UiText,Needs explicit phrase verification,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/AdminSettlementsPage.tsx,page,admin:/admin/finance/settlements,0,2,shared UiText,Needs explicit phrase verification,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/ProviderFinancePage.tsx,page,provider:/providers/:providerId/finance,0,0,none detected,Rechecked,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/ProviderReportsPage.tsx,page,provider:/providers/:providerId/reports,0,0,none detected,Rechecked,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/ProviderSettlementsPage.tsx,page,provider:/providers/:providerId/finance/settlements,0,0,none detected,Rechecked,Batch 63,
provider-finance-analytics,src/modules/provider-finance-analytics/pages/ProviderWalletPage.tsx,page,provider:/providers/:providerId/finance/wallet,0,0,none detected,Rechecked,Batch 63,
providers,src/modules/providers/actions.ts,actions,,8,0,none detected,Needs work,Batch 63,Provider name is required in at least one language. | Provider description is required in at least one language. | A valid email is required. | Phone country code must be 1 to 3 characters. | Phone number must be 1 to 15 characters. | Latitude must be between -90 and 90. | Longitude must be between -180 and 180. | A reason is required when deactivating a provider.
providers,src/modules/providers/components/ProfileForm.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
providers,src/modules/providers/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
providers,src/modules/providers/pages/AdminProvidersPage.tsx,page,admin:/admin/providers,1,0,"module dictionary, active locale",Needs work,Batch 63,Promise
providers,src/modules/providers/pages/ProviderProfilePage.tsx,page,provider:/providers/:providerId/profile,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
reviews,src/modules/reviews/actions.ts,actions,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
reviews,src/modules/reviews/components/ReviewsManager.tsx,component,,1,7,"shared UiText, active locale",Needs work,Batch 63,Provider reply
reviews,src/modules/reviews/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
reviews,src/modules/reviews/pages/ReviewsPage.tsx,page,provider:/providers/:providerId/reviews,2,0,"module dictionary, active locale",Needs work,Batch 63,Reviews | Read customer reviews and submit provider replies.
services,src/modules/services/actions.ts,actions,,7,0,none detected,Needs work,Batch 63,Service display name is required in at least one language. | Service definition is required. | Currency is required. | Service price must be zero or greater. | Duration must be a non-negative whole number. | Slot interval must be a positive whole number. | A reason is required when deactivating a service.
services,src/modules/services/components/ServiceForm.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
services,src/modules/services/components/ServicesTable.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
services,src/modules/services/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
services,src/modules/services/pages/AdminServicesPage.tsx,page,admin:/admin/services,15,17,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Provider service catalog | Moderate every provider service without changing provider ownership or the stable LSevin service-definition contract. | Services | Active | Inactive | Popular | On inactive provider | Service, definition or provider"
services,src/modules/services/pages/EditServicePage.tsx,page,provider:/providers/:providerId/services/:serviceId/edit,0,1,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
services,src/modules/services/pages/NewServicePage.tsx,page,provider:/providers/:providerId/services/new,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
services,src/modules/services/pages/ServicesPage.tsx,page,provider:/providers/:providerId/services,0,0,"module dictionary, active locale",Rechecked,Batch 63,
staff,src/modules/staff/actions.ts,actions,,4,0,none detected,Needs work,Batch 63,Staff name is required in at least one language. | The approved staff claim is not connected to a provider. | A reason is required when deactivating a staff profile. | A reason is required when disabling a provider staff link.
staff,src/modules/staff/components/StaffForm.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
staff,src/modules/staff/components/StaffManager.tsx,component,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
staff,src/modules/staff/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
staff,src/modules/staff/pages/AdminStaffPage.tsx,page,admin:/admin/staff,19,16,"module dictionary, shared UiText, active locale",Needs work,Batch 63,Staff catalog administration | Inspect global staff identities and provider links without bypassing the separate staff ownership-claim workflow. | Staff profiles | Active profiles | Inactive profiles | Provider links | Inactive links | Approved claims
staff,src/modules/staff/pages/EditStaffPage.tsx,page,provider:/providers/:providerId/staff/:providerStaffId/edit,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
staff,src/modules/staff/pages/SelfStaffProfilePage.tsx,page,portal:/staff/:staffId/profile,0,0,"module dictionary, active locale",Rechecked,Batch 63,
staff,src/modules/staff/pages/StaffPage.tsx,page,provider:/providers/:providerId/staff,0,2,"module dictionary, shared UiText, active locale",Rechecked,Batch 63,
support,src/modules/support/actions.ts,actions,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
support,src/modules/support/components/SupportManager.tsx,component,,9,6,"shared UiText, active locale",Needs work,Batch 63,Subject | Priority | Message | Open / reopen | Close | Low | Normal | High
support,src/modules/support/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
support,src/modules/support/pages/ProviderSupportPage.tsx,page,provider:/providers/:providerId/support,2,0,"module dictionary, active locale",Needs work,Batch 63,Provider support | Create and manage support tickets for this provider workspace.
support,src/modules/support/pages/SupportPage.tsx,page,portal:/support,2,0,"module dictionary, active locale",Needs work,Batch 63,Support | Support tickets across all providers assigned to your LSevin account.
