Module,File path,Related route,File type,Hard-coded literal count,Shared translation usage,Translation mechanism,Current status,Last recheck,Remaining notes
booking-management,src/modules/booking-management/pages/AdminPage.tsx,/admin/booking-management,Page,22,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Admin oversight for provider booking operations, status safety, payment consistency, and auditability.; Admin status action; Apply audited status; Assigned; Audit note; Booking"
booking-management,src/modules/booking-management/pages/ProviderPage.tsx,/providers/:providerId/booking-management,Page,32,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add note; Assign staff/resource; Assigned; Assignment note; Booking; Booking ID
booking-management,src/modules/booking-management/pages/StaffBookingsPage.tsx,/staff/:staffId/bookings,Page,9,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add internal service note; Add note; Assigned bookings; Booking ID; My Assigned Bookings; No assigned bookings yet.
bookings,src/modules/bookings/components/BookingsTable.tsx,,Component,1,Yes,i18n,Needs conversion,2026-07-17T01:37:41.492869+00:00,Invoice amount
bookings,src/modules/bookings/module.tsx,,Support,1,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Bookings
boost-studio,src/modules/boost-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Boost Studio; Boost Studio Admin; Provider Boosts
boost-studio,src/modules/boost-studio/pages/AdminPage.tsx,/admin/boost-studio,Page,16,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Active; Approve; Approve LSevin-native boosted placements, supervise paid promotion claims, invoices and lead quality before public exposure.; Approved; Boost Studio Admin; Campaign moderation"
boost-studio,src/modules/boost-studio/pages/ProviderPage.tsx,/providers/:providerId/boost-studio,Page,11,Yes,"getPortalLocale, LocaleSelect, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,Category page; City page; Home feed; More bookings; More consultations; More followers
boost-studio,src/modules/boost-studio/pages/PublicBoostPage.tsx,/providers/:providerId/boosts,Page,1,Yes,"getPortalLocale, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,Email
business-growth,src/modules/business-growth/module.tsx,,Support,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Business Growth; Provider Updates
business-growth,src/modules/business-growth/pages/AdminPage.tsx,/admin/business-growth,Page,8,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Business Growth Admin; Campaign delivery; Growth post moderation; Moderate provider growth posts, supervise promotion requests and verify that notification-powered campaigns stay inside LSevin.; Note"
business-growth,src/modules/business-growth/pages/ProviderPage.tsx,/providers/:providerId/growth-tools,Page,57,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Announcement; Approved; Audience; Bio; Body; Book consultation
business-growth,src/modules/business-growth/pages/PublicGrowthPage.tsx,,Page,18,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Compare before booking; Country; Email; Follow / notify me; Follow this provider; Following is disabled for this provider right now.
business-growth,src/modules/business-growth/pages/PublicUpdatesPage.tsx,/providers/:providerId/updates,Page,10,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Channel; Email; Follow on LSevin; Follow provider; Follower key; In-app
care-journey,src/modules/care-journey/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Care Journey Admin; Care Journey Studio; Provider Care Journey
care-journey,src/modules/care-journey/pages/AdminPage.tsx,/admin/care-journey,Page,12,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Approve provider preparation and aftercare journeys, supervise follow-up requests, and keep customer care communication safe inside LSevin.; Care Journey Admin; Follow-up supervision; Open follow-ups; Publish"
care-journey,src/modules/care-journey/pages/ProviderPage.tsx,/providers/:providerId/care-journey,Page,63,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Active journeys; Add step; Add step to first template; Aftercare; Appointment; Approved seed
care-journey,src/modules/care-journey/pages/PublicCarePage.tsx,/providers/:providerId/care,Page,16,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Ask for follow-up; Email; Get reminders; Important:; In-app; Join this journey
challenge-studio,src/modules/challenge-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Challenge Admin; Challenge Studio; Provider Challenges
challenge-studio,src/modules/challenge-studio/pages/AdminPage.tsx,/admin/challenge-studio,Page,8,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Challenge Studio Admin; Challenge moderation; Milestone moderation; Moderate provider/staff challenges, milestones and public check-in risk before they appear on LSevin.; Open check-ins"
challenge-studio,src/modules/challenge-studio/pages/ProviderPage.tsx,/providers/:providerId/challenge-studio,Page,38,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Active challenges; Add milestone; Aftercare; Approved challenges; Beauty; Challenge Studio
challenge-studio,src/modules/challenge-studio/pages/PublicChallengesPage.tsx,/providers/:providerId/challenges,Page,14,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Active challenges; Approved challenges; Available challenges; Check in or ask for follow-up; Email; In-app
class-group-studio,src/modules/class-group-studio/api.ts,,Support,5,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Enrollment access is invalid or expired.; Enrollment could not be created.; Enrollment response could not be saved.; Event could not be recorded.; Participant could not be added.
class-group-studio,src/modules/class-group-studio/module.tsx,,Support,13,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"(""class_group_studio.create_enrollment"", async (request: ModuleCapabilityRequest; Attendance recorded.; Class & Group Session Administration; Class & Group Session Studio; Class activity added.; Class enrollment created."
class-group-studio,src/modules/class-group-studio/pages/AdminPage.tsx,/admin/class-group-studio,Page,16,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Class & Group Session Administration; Enrollment risks; Guardian checks; Moderate programs and supervise capacity, waitlists, expired seat offers, payment, minors and attendance risk.; No profile moderation items."
class-group-studio,src/modules/class-group-studio/pages/ProviderPage.tsx,/providers/:providerId/class-group-studio,Page,45,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,0 && !item.invoiceEntityId ?; ; searchParams: Record; Add timeline item; Attended; Cancellation notice; Class & Group Session Studio
class-group-studio,src/modules/class-group-studio/pages/PublicClassesPage.tsx,/providers/:providerId/classes,Page,32,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"; searchParams: Record; Accept enrollment; Accept waitlist seat offer; Accessibility, guardian, membership or scheduling notes; Add participant; Ask for help"
community-studio,src/modules/community-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Community Studio; Community Studio Admin; Provider Community
community-studio,src/modules/community-studio/pages/AdminPage.tsx,/admin/community-studio,Page,13,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Archive; Community Studio Admin; Discussion prompts; Load; Moderate customer stories, safe social proof and provider discussion prompts before exposure on LSevin front."
community-studio,src/modules/community-studio/pages/ProviderPage.tsx,/providers/:providerId/community-studio,Page,53,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Add story; Approved seed; Approved stories; Ask customers a safe, useful question; Author display name; Build LSevin-native social proof: customer stories, safe galleries, prompts and community responses under admin moderation."
community-studio,src/modules/community-studio/pages/PublicCommunityPage.tsx,/providers/:providerId/community,Page,17,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Collections; Community activity; Community guidelines; Community prompts; Country; Display name
concierge-studio,src/modules/concierge-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Concierge Admin; Concierge Studio; Provider Concierge
concierge-studio,src/modules/concierge-studio/pages/AdminPage.tsx,/admin/concierge-studio,Page,8,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Concierge Studio Admin; Customer concierge requests; Journey item moderation; Moderate travel/support plans, customer-visible journey items and urgent concierge requests before they appear on LSevin front.; Plan moderation"
concierge-studio,src/modules/concierge-studio/pages/ProviderPage.tsx,/providers/:providerId/concierge-studio,Page,46,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add item; Add plan item; Aftercare; Appointment; Approved plans; Beauty visit
concierge-studio,src/modules/concierge-studio/pages/PublicConciergePage.tsx,/providers/:providerId/concierge,Page,17,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,City; Country; Hotel; Hotel support; Interpreter; Interpreter support
consent-studio,src/modules/consent-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Consent Admin; Consent Studio; Provider Consent
consent-studio,src/modules/consent-studio/pages/AdminPage.tsx,/admin/consent-studio,Page,13,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Consent Studio Admin; Declined; For regulated/high-risk services, keep language factual, consent-specific and free of unsafe claims.; Mark signed; Moderate consent forms and clauses, supervise signed/declined consent records, and keep risk acknowledgement inside LSevin before booking, travel or aftercare."
consent-studio,src/modules/consent-studio/pages/ProviderPage.tsx,/providers/:providerId/consent-studio,Page,51,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add consent clause; Aftercare; Approved forms; Clause title; Clauses; Consent Studio
consent-studio,src/modules/consent-studio/pages/PublicConsentPage.tsx,/providers/:providerId/consent,Page,15,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Any note for provider/LSevin team; Clauses; Consent forms; Email; Forms; Full name
consultation-studio,src/modules/consultation-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Consultation Admin; Consultation Studio; Provider Consultation
consultation-studio,src/modules/consultation-studio/pages/AdminPage.tsx,/admin/consultation-studio,Page,9,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Consultation Studio Admin; Consultation requests supervision; Moderate provider consultation flows and questions, supervise urgent consultation requests, and keep customer promises safe before public exposure.; Moderation queue; Pause"
consultation-studio,src/modules/consultation-studio/pages/ProviderPage.tsx,/providers/:providerId/consultation-studio,Page,40,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Add question; Aftercare; Approved flows; Beauty; Build guided consultation funnels so customers can ask the right questions, submit context and move toward consultation or booking inside LSevin.; Consultation Studio"
consultation-studio,src/modules/consultation-studio/pages/PublicConsultationPage.tsx,/providers/:providerId/consultation,Page,19,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Consultation paths; Country; Email; English; I am interested; Normal
content-studio,src/modules/content-studio/module.tsx,,Support,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Content Studio; Provider Stories
content-studio,src/modules/content-studio/pages/AdminPage.tsx,/admin/content-studio,Page,13,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Apply; Approve; Approved; Content Studio Admin; Events 30d; Moderate provider/staff stories, highlights, education posts and launch content before it appears on LSevin public surfaces."
content-studio,src/modules/content-studio/pages/ProviderPage.tsx,/providers/:providerId/content-studio,Page,56,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add to highlight; Allow customers to subscribe to content updates; Approved internal seed; Approved items; Body / caption / story text; CTA href
content-studio,src/modules/content-studio/pages/PublicStoriesPage.tsx,/providers/:providerId/stories,Page,11,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Email; Follow content; Highlights; In-app; No approved stories yet.; Provider Stories
conversation-studio,src/modules/conversation-studio/api.ts,,Support,5,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Conversation access is invalid.; Conversation could not be created.; Conversation was not found or access is invalid.; Message could not be sent.; Report could not be created.
conversation-studio,src/modules/conversation-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Conversation Studio; Conversation Studio Admin; Message Provider
conversation-studio,src/modules/conversation-studio/pages/AdminPage.tsx,/admin/conversation-studio,Page,12,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Admin supervision note / escalation reason; Approve; Approve public messaging configuration and supervise urgent, escalated, overdue or reported private conversations.; Conversation Studio moderation; Dismiss; Moderation and safety queue"
conversation-studio,src/modules/conversation-studio/pages/ProviderPage.tsx,/providers/:providerId/conversation-studio,Page,35,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Accept new conversations; Allow attachment references; Assign staff user UUID; Attachment name; Conversation Studio; Create saved reply
conversation-studio,src/modules/conversation-studio/pages/PublicConversationPage.tsx,/providers/:providerId/messages,Page,24,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Attachment name; Attachments; Continue this conversation; Describe what you need. Do not send emergency requests here.; Email; Explain the concern for LSevin review
conversion-studio,src/modules/conversion-studio/module.tsx,,Support,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Conversion Studio; Provider Promotions
conversion-studio,src/modules/conversion-studio/pages/AdminPage.tsx,/admin/conversion-studio,Page,10,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; CTA booking intents; Conversion Studio Admin; Moderate provider promotions, supervise offer claims and inspect booking-intent quality before public exposure.; Moderation queue; No conversion offers yet."
conversion-studio,src/modules/conversion-studio/pages/ProviderPage.tsx,/providers/:providerId/conversion-studio,Page,43,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,CTA intents; CTA label; Claims and CTA intents; Conversion Studio; Conversion profile; Create offer / conversion card
conversion-studio,src/modules/conversion-studio/pages/PublicPromotionsPage.tsx,/providers/:providerId/promotions,Page,5,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Email; Name; No public promotions are active yet. You can still request guidance through LSevin.; Phone / WhatsApp; What do you need help with?
customer-case-studio,src/modules/customer-case-studio/api.ts,,Support,5,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Customer case access is invalid.; Customer case could not be created.; Customer case was not found or access is invalid.; Customer check-in could not be submitted.; Customer task could not be updated.
customer-case-studio,src/modules/customer-case-studio/module.tsx,,Support,8,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"(""customer_cases.create_case"", async (request: ModuleCapabilityRequest; Customer Case Admin; Customer Cases; Customer case blocker added.; Customer case blocker could not be created.; Customer case created."
customer-case-studio,src/modules/customer-case-studio/pages/AdminPage.tsx,/admin/customer-cases,Page,19,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Customer Case Supervision; High-risk blockers; Moderate case configuration and supervise urgent, high-risk, escalated, overdue and blocked customer journeys.; Moderation note; No open high-risk blockers."
customer-case-studio,src/modules/customer-case-studio/pages/ProviderPage.tsx,/providers/:providerId/customer-cases,Page,68,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add; Add blocker; Add milestone; Add task; Add timeline update; Allow customer case requests
customer-case-studio,src/modules/customer-case-studio/pages/PublicCasePage.tsx,/providers/:providerId/my-case,Page,28,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Case timeline; Coordinator response; Describe your goal, expected timing and important coordination context. Do not use this for emergencies.; Email; Full name; I need help"
customer-decision,src/modules/customer-decision/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Compare Provider; Customer Decision; Decision Tools
customer-decision,src/modules/customer-decision/pages/AdminPage.tsx,/admin/customer-decision,Page,25,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Approve; Archive; Booking ID; Booking created; Booking intents; Closed
customer-decision,src/modules/customer-decision/pages/ProviderPage.tsx,/providers/:providerId/decision-tools,Page,54,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Add comparison criterion; Add criterion; Arabic; Ask a question, Request guidance, Book consultation; Booking ID; Booking created"
customer-decision,src/modules/customer-decision/pages/PublicComparePage.tsx,/providers/:providerId/compare,Page,35,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"; searchParams: Record; Ask before booking; Back to provider; Best fit; Budget; Compare trust signals, fit, expectations, and next steps before booking. LSevin gives more choice together with the information needed to choose well."
customer-engagement,src/modules/customer-engagement/api.ts,,Support,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Customer name and message are required.; Question is required.
customer-engagement,src/modules/customer-engagement/module.tsx,,Support,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Ask Provider; Customer Engagement
customer-engagement,src/modules/customer-engagement/pages/AdminPage.tsx,/admin/customer-engagement,Page,39,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Admin update lead; Approve public; Approve public answer; Archive; Assigned user ID; Booking created
customer-engagement,src/modules/customer-engagement/pages/ProviderPage.tsx,/providers/:providerId/customer-engagement,Page,45,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Add FAQ for approval; Answer; Answer question; Booking created; Category; Closed
customer-engagement,src/modules/customer-engagement/pages/PublicAskPage.tsx,/providers/:providerId/ask,Page,25,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"; searchParams: Record; Answered customer questions; Ask a public question; Ask this provider; Before booking, customers can read verified FAQs, ask a public question, or send a private inquiry to the provider/LSevin team.; Email"
customer-relationship-studio,src/modules/customer-relationship-studio/api.ts,,Support,5,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Commitment could not be completed.; Relationship event could not be recorded.; Relationship response could not be saved.; Relationship workspace could not be created.; Relationship workspace was not found or access is invalid.
customer-relationship-studio,src/modules/customer-relationship-studio/module.tsx,,Support,9,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"(""customer_relationships.upsert_relationship"", async (request: ModuleCapabilityRequest; Customer Relationship Admin; Customer Relationships; Customer relationship workspace created.; My Relationship; Relationship commitment added."
customer-relationship-studio,src/modules/customer-relationship-studio/pages/AdminPage.tsx,/admin/customer-relationships,Page,20,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Active; Approve; Approved profiles; At risk; Complete safe merge; Critical
customer-relationship-studio,src/modules/customer-relationship-studio/pages/ProviderPage.tsx,/providers/:providerId/customer-relationships,Page,74,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,; searchParams: Record; Active; Add alias; Add commitment; Add timeline record; At risk
customer-relationship-studio,src/modules/customer-relationship-studio/pages/PublicRelationshipPage.tsx,/providers/:providerId/my-relationship,Page,29,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"; searchParams: Record; Ask for help; Customer-visible timeline; Describe the correction, question or contact request; Email; Full name"
dashboard,src/modules/dashboard/components/DashboardProviderCards.tsx,,Component,6,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Bookings; Manage; Profile; Rating; Services; Staff
dashboard,src/modules/dashboard/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Admin Control Center; Dashboard; Provider overview
dashboard,src/modules/dashboard/pages/AdminDashboardPage.tsx,/admin,Page,39,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Active offers; Admin catalog completion; Admin route / replacement; Admin surface audit; All registered modules have an explicit administration path; Applications awaiting review
dashboard,src/modules/dashboard/pages/ProviderDashboardPage.tsx,/providers/:providerId/dashboard,Page,5,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Bookings; Profile status; Provider-specific operations overview.; Services; Staff
dashboard,src/modules/dashboard/pages/UserDashboardPage.tsx,/dashboard,Page,11,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Become a provider; Bookings; Dashboard; No provider workspace yet; Open applications; Providers
document-intake-studio,src/modules/document-intake-studio/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Document Intake Admin; Document Intake Studio; Provider Documents
document-intake-studio,src/modules/document-intake-studio/pages/AdminPage.tsx,/admin/document-intake-studio,Page,12,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Accept submission; Approve; Document Intake Admin; Mark missing; Moderate checklists and requirements, supervise uploaded customer documents, and request corrections before travel or booking operations fail.; Pause"
document-intake-studio,src/modules/document-intake-studio/pages/ProviderPage.tsx,/providers/:providerId/document-intake-studio,Page,55,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Accepted; Add requirement; Aftercare; Approved checklists; Beauty; Checklist title
document-intake-studio,src/modules/document-intake-studio/pages/PublicDocumentPage.tsx,/providers/:providerId/documents,Page,15,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Accepted files; Any note for provider/LSevin team; Checklists; Document checklists; Email; File name
feedback-recovery-studio,src/modules/feedback-recovery-studio/api.ts,,Support,4,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Feedback case was not found or access is invalid.; Feedback could not be submitted.; Feedback event could not be recorded.; Feedback response could not be saved.
feedback-recovery-studio,src/modules/feedback-recovery-studio/module.tsx,,Support,8,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"(""feedback_recovery.create_feedback"", async (request: ModuleCapabilityRequest; Feedback Recovery; Feedback Recovery Admin; Feedback activity added.; Feedback case created.; Optional public review invitation recorded."
feedback-recovery-studio,src/modules/feedback-recovery-studio/pages/AdminPage.tsx,/admin/feedback-recovery,Page,17,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Approved profiles; Approved surveys; Critical; Feedback Recovery Admin; Moderate public feedback configuration and supervise critical dissatisfaction, SLA breaches, reopen patterns and review-invitation safety."
feedback-recovery-studio,src/modules/feedback-recovery-studio/pages/ProviderPage.tsx,/providers/:providerId/feedback-recovery,Page,71,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,; searchParams: Record; Active; Activity timeline; Add activity; Add recovery action; Add update or private note
feedback-recovery-studio,src/modules/feedback-recovery-studio/pages/PublicFeedbackPage.tsx,/providers/:providerId/feedback,Page,33,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,; searchParams: Record; Accept; Add details; Allow optional public review invitation; An optional public review invitation is available because this case was resolved and you granted consent. Publishing remains your choice.; Anonymous feedback
field-dispatch-studio,src/modules/field-dispatch-studio/api.ts,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Field visit could not be created.; Field visit not found.; Field-visit response could not be submitted.
field-dispatch-studio,src/modules/field-dispatch-studio/module.tsx,,Support,10,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"(""field_dispatch.create_visit"",async(request:ModuleCapabilityRequest; Dispatch activity added.; Dispatch event recorded.; Dispatch proof added.; Dispatch task added.; Field Dispatch"
field-dispatch-studio,src/modules/field-dispatch-studio/pages/AdminPage.tsx,/admin/field-dispatch,Page,10,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Dispatch risk queue; Field Dispatch Administration; Moderate provider dispatch policies and supervise unassigned, overdue, blocked, unsafe, failed or missing-proof field visits.; No field visits require supervision.; No profiles require review."
field-dispatch-studio,src/modules/field-dispatch-studio/pages/ProviderPage.tsx,/providers/:providerId/field-dispatch,Page,64,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Accessibility needs; Active; Add proof; Add task; Add update; Address update
field-dispatch-studio,src/modules/field-dispatch-studio/pages/PublicFieldVisitPage.tsx,/providers/:providerId/field-visit,Page,38,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,";searchParams:Record; Accessibility needs; Address or destination label; Building, floor, unit, access code and directions; Cancel visit; Confirm appointment window"
finance,src/modules/finance/components/FinanceManager.tsx,,Component,15,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Account holder; Add account; Add payout account; Approved earnings; Bank name; Default
finance,src/modules/finance/module.tsx,,Support,1,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Finance legacy
finance,src/modules/finance/pages/LegacyFinancePage.tsx,/providers/:providerId/finance-legacy,Page,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Finance legacy; Legacy payout accounts, provider ledger and settlement readiness."
